A,B,C,D,Pretty Formula,sus_factor
Fe5+,Au1+,Li1+,O2-,Li7Fe3(AuO6)2,1157.7162586009915
Na1+,Cl7+,Li1+,O2-,Na3Li7(ClO6)2,1158.8895636681066
Fe5+,Na1+,Li1+,O2-,Na2Li7(FeO4)3,1227.9399277432824
Mn5+,Au1+,Li1+,O2-,Li7Mn3(AuO6)2,1239.3679814720851
Fe5+,N1+,Li1+,O2-,Li7Fe3(NO6)2,1257.9271416065276
Fe5+,C1+,Li1+,O2-,Li7Fe3(CO6)2,1264.9287423733535
Fe3+,C4+,Li1+,O2-,Li7Fe3(CO6)2,1264.9287423733535
Fe3+,S4+,Li1+,O2-,Li7Fe3(SO6)2,1267.8610754422282
Na1+,Mn7+,Li1+,O2-,Na3Li7Mn2O12,1269.1736659156747
Fe3+,Si4+,Li1+,O2-,Li7Fe3(SiO6)2,1272.4528727779311
Ag3+,S4+,Li1+,O2-,Li7Ag3(SO6)2,1300.6836068057648
Ag3+,C4+,Li1+,O2-,Li7Ag3(CO6)2,1300.7674184783623
Ag3+,Si4+,Li1+,O2-,Li7Si2(AgO4)3,1304.5413000354315
Ti3+,S4+,Li1+,O2-,Li7Ti3(SO6)2,1324.869710923761
Ti3+,C4+,Li1+,O2-,Li7Ti3(CO6)2,1327.3669274687888
Fe3+,Fe4+,Li1+,O2-,Li7Fe5O12,1329.300537432513
Ti3+,Si4+,Li1+,O2-,Li7Ti3(SiO6)2,1330.7414662549352
Fe5+,Ag1+,Li1+,O2-,Li7Fe3(AgO6)2,1341.0918501078463
Ag3+,Fe4+,Li1+,O2-,Li7Fe2(AgO4)3,1345.6261104134144
Fe5+,Ni1+,Li1+,O2-,Li7Fe3(NiO6)2,1352.4050164642697
Fe3+,Ni4+,Li1+,O2-,Li7Fe3(NiO6)2,1352.4050164642697
Ag1+,Cl7+,Li1+,O2-,Li7Ag3(ClO6)2,1353.2990578978993
Fe5+,Cu1+,Li1+,O2-,Li7Fe3(CuO6)2,1355.0814376797905
Ag3+,Ni4+,Li1+,O2-,Li7Ni2(AgO4)3,1363.3035550797915
Fe3+,Ti4+,Li1+,O2-,Li7Ti2(FeO4)3,1365.062693411198
Mn5+,Na1+,Li1+,O2-,Na2Li7Mn3O12,1372.958422638947
Ag3+,Ti4+,Li1+,O2-,Li7Ti2(AgO4)3,1373.3253080986983
Ti3+,Fe4+,Li1+,O2-,Li7Ti3(FeO6)2,1383.8068303275772
Mn7+,O2-,Li1+,O2-,Li7Mn3O14,1400.8615003630548
Fe5+,Li1+,Li1+,O2-,Li3FeO4,1405.0229764775463
Ti3+,Ni4+,Li1+,O2-,Li7Ti3(NiO6)2,1407.3947360236189
Mn3+,S4+,Li1+,O2-,Li7Mn3(SO6)2,1407.504908136366
Mn7+,S2-,Li1+,O2-,Li7Mn3(SO6)2,1407.504908136366
Mn5+,N1+,Li1+,O2-,Li7Mn3(NO6)2,1409.1453782156227
Ag3+,Mn4+,Li1+,O2-,Li7Mn2(AgO4)3,1410.6822994476358
Ag1+,Mn7+,Li1+,O2-,Li7Mn2(AgO4)3,1410.6822994476358
Ag3+,Sn4+,Li1+,O2-,Li7Ag3(SnO6)2,1413.390744861181
Fe5+,Mn1+,Li1+,O2-,Li7Mn2(FeO4)3,1413.900854511167
Fe3+,Mn4+,Li1+,O2-,Li7Mn2(FeO4)3,1413.900854511167
Mn3+,Si4+,Li1+,O2-,Li7Mn3(SiO6)2,1414.5317234724516
Fe3+,Sn4+,Li1+,O2-,Li7Fe3(SnO6)2,1416.628197271472
Mn5+,C1+,Li1+,O2-,Li7Mn3(CO6)2,1417.597121909957
Mn3+,C4+,Li1+,O2-,Li7Mn3(CO6)2,1417.597121909957
Ti3+,Ti4+,Li1+,O2-,Li7Ti5O12,1423.1646950667075
Mn5+,Ag1+,Li1+,O2-,Li7Mn3(AgO6)2,1446.9719998460546
Ag3+,Ge4+,Li1+,O2-,Li7Ag3(GeO6)2,1450.5875700035126
Mn3+,Fe4+,Li1+,O2-,Li7Mn3(FeO6)2,1456.423593976092
Ag3+,Se4+,Li1+,O2-,Li7Ag3(SeO6)2,1458.4542622922668
Ti3+,Sn4+,Li1+,O2-,Li7Ti3(SnO6)2,1463.4720547335205
Fe3+,Ge4+,Li1+,O2-,Li7Fe3(GeO6)2,1464.8543860549464
Ti3+,Mn4+,Li1+,O2-,Li7Ti3Mn2O12,1472.7056270786954
Fe3+,Se4+,Li1+,O2-,Li7Fe3(SeO6)2,1474.5715281109924
Mn1+,Cl7+,Li1+,O2-,Li7Mn3(ClO6)2,1476.1417991795445
Mn3+,Ni4+,Li1+,O2-,Li7Mn3(NiO6)2,1478.2630484652425
Mn5+,Ni1+,Li1+,O2-,Li7Mn3(NiO6)2,1478.2630484652425
Mn5+,Cu1+,Li1+,O2-,Li7Mn3(CuO6)2,1478.6592306893515
Li1+,Cl7+,Li1+,O2-,Li5ClO6,1486.2001848882724
Mn3+,Ti4+,Li1+,O2-,Li7Ti2Mn3O12,1496.4275400053284
Mn3+,Sn4+,Li1+,O2-,Li7Mn3(SnO6)2,1519.2564906048592
Ti3+,Ge4+,Li1+,O2-,Li7Ti3(GeO6)2,1522.0303372789826
Ti3+,Se4+,Li1+,O2-,Li7Ti3(SeO6)2,1530.8433413121695
Ag3+,Pb4+,Li1+,O2-,Li7Ag3(PbO6)2,1531.8333707342974
V5+,Au1+,Li1+,O2-,Li7V3(AuO6)2,1541.3953146731988
Mn5+,Mn1+,Li1+,O2-,Li7Mn5O12,1541.9181525259496
Mn1+,Mn7+,Li1+,O2-,Li7Mn5O12,1541.9181525259496
Mn3+,Mn4+,Li1+,O2-,Li7Mn5O12,1541.9181525259496
Fe3+,Pb4+,Li1+,O2-,Li7Fe3(PbO6)2,1556.8483387776123
Fe5+,In1+,Li1+,O2-,Li7In2(FeO4)3,1558.4187428694718
Mn5+,Li1+,Li1+,O2-,Li3MnO4,1562.2924864504805
Ag3+,Co4+,Li1+,O2-,Li7Co2(AgO4)3,1570.773773313861
Li1+,Mn7+,Li1+,O2-,Li5MnO6,1576.4304886819718
Mn3+,Ge4+,Li1+,O2-,Li7Mn3(GeO6)2,1584.8929602960052
Mn3+,Se4+,Li1+,O2-,Li7Mn3(SeO6)2,1591.9635345076274
Mn7+,Se2-,Li1+,O2-,Li7Mn3(SeO6)2,1591.9635345076274
Ti3+,Pb4+,Li1+,O2-,Li7Ti3(PbO6)2,1597.5132384850726
Fe5+,Co1+,Li1+,O2-,Li7Fe3(CoO6)2,1621.445917105895
Fe3+,Co4+,Li1+,O2-,Li7Fe3(CoO6)2,1621.445917105895
In3+,S4+,Li1+,O2-,Li7In3(SO6)2,1622.240488456072
In3+,Si4+,Li1+,O2-,Li7In3(SiO6)2,1629.9640925956887
Mn3+,Pb4+,Li1+,O2-,Li7Mn3(PbO6)2,1637.786260275273
In3+,C4+,Li1+,O2-,Li7In3(CO6)2,1643.497173983573
In3+,Fe4+,Li1+,O2-,Li7In3(FeO6)2,1643.8878648899315
Ag3+,Zr4+,Li1+,O2-,Li7Zr2(AgO4)3,1644.0125555762113
Ag3+,V4+,Li1+,O2-,Li7V2(AgO4)3,1650.7495187423974
In3+,Ni4+,Li1+,O2-,Li7In3(NiO6)2,1658.6216292631511
Mn5+,In1+,Li1+,O2-,Li7Mn3In2O12,1662.9125412804358
In3+,Sn4+,Li1+,O2-,Li7In3(SnO6)2,1664.3388358105951
In1+,Cl7+,Li1+,O2-,Li7In3(ClO6)2,1669.861776949653
In3+,Ti4+,Li1+,O2-,Li7Ti2In3O12,1677.7294695783205
Cr5+,Au1+,Li1+,O2-,Li7Cr3(AuO6)2,1686.9637944830138
Ti3+,Co4+,Li1+,O2-,Li7Ti3(CoO6)2,1689.2090422814636
Ag3+,P4+,Li1+,O2-,Li7Ag3(PO6)2,1707.3727938523064
In3+,Mn4+,Li1+,O2-,Li7Mn2In3O12,1707.7707183013326
In1+,Mn7+,Li1+,O2-,Li7Mn2In3O12,1707.7707183013326
Fe3+,Zr4+,Li1+,O2-,Li7Zr2(FeO4)3,1708.4984018634432
Fe3+,V4+,Li1+,O2-,Li7V2(FeO4)3,1727.4839224796658
In3+,Ge4+,Li1+,O2-,Li7In3(GeO6)2,1732.1345974839858
In3+,Se4+,Li1+,O2-,Li7In3(SeO6)2,1734.99052027192
In3+,Pb4+,Li1+,O2-,Li7In3(PbO6)2,1735.87265109505
Co3+,S4+,Li1+,O2-,Li7Co3(SO6)2,1747.7347393758484
Mn5+,Co1+,Li1+,O2-,Li7Mn3(CoO6)2,1748.5875620323404
Mn3+,Co4+,Li1+,O2-,Li7Mn3(CoO6)2,1748.5875620323404
Co3+,Si4+,Li1+,O2-,Li7Co3(SiO6)2,1760.3019782150532
Co3+,Fe4+,Li1+,O2-,Li7Fe2(CoO4)3,1764.960713990283
Ag3+,Cr4+,Li1+,O2-,Li7Cr2(AgO4)3,1765.2163514855204
Co3+,Sn4+,Li1+,O2-,Li7Co3(SnO6)2,1767.4003763763462
Ti3+,Zr4+,Li1+,O2-,Li7Zr2Ti3O12,1772.215249207241
Co3+,Ni4+,Li1+,O2-,Li7Co3(NiO6)2,1783.023882671265
Co3+,C4+,Li1+,O2-,Li7Co3(CO6)2,1788.468453901821
Ti3+,V4+,Li1+,O2-,Li7Ti3V2O12,1802.6966830280303
Fe5+,P1+,Li1+,O2-,Li7Fe3(PO6)2,1809.426386616767
Fe3+,P4+,Li1+,O2-,Li7Fe3(PO6)2,1809.426386616767
Co1+,Cl7+,Li1+,O2-,Li7Co3(ClO6)2,1809.965455959736
Co3+,Ti4+,Li1+,O2-,Li7Ti2(CoO4)3,1813.6246426313744
Mn3+,Zr4+,Li1+,O2-,Li7Zr2Mn3O12,1822.074913726596
Ag3+,Hf4+,Li1+,O2-,Li7Hf2(AgO4)3,1825.1424392866245
Co3+,Pb4+,Li1+,O2-,Li7Co3(PbO6)2,1831.4239412172976
V5+,Ag1+,Li1+,O2-,Li7V3(AgO6)2,1841.440015418441
Y3+,Sn4+,Li1+,O2-,Li7Y3(SnO6)2,1844.1888456069944
Co1+,Mn7+,Li1+,O2-,Li7Mn2(CoO4)3,1849.5732860810976
Co3+,Mn4+,Li1+,O2-,Li7Mn2(CoO4)3,1849.5732860810976
Y3+,S4+,Li1+,O2-,Li7Y3(SO6)2,1850.904458808281
Zr3+,Sn4+,Li1+,O2-,Li7Zr3(SnO6)2,1851.181592817504
Y3+,Fe4+,Li1+,O2-,Li7Y3(FeO6)2,1857.7010176379213
Mn3+,V4+,Li1+,O2-,Li7Mn3V2O12,1859.2003261492664
In3+,Co4+,Li1+,O2-,Li7In3(CoO6)2,1859.736377365327
Zr3+,S4+,Li1+,O2-,Li7Zr3(SO6)2,1859.9115670652156
Y3+,Si4+,Li1+,O2-,Li7Y3(SiO6)2,1862.923498720026
Zr3+,Fe4+,Li1+,O2-,Li7Zr3(FeO6)2,1865.948239916235
Zr3+,Si4+,Li1+,O2-,Li7Zr3(SiO6)2,1871.9097483480675
Co3+,Ge4+,Li1+,O2-,Li7Co3(GeO6)2,1872.2742525657864
Y3+,Ni4+,Li1+,O2-,Li7Y3(NiO6)2,1872.3184028280527
Co3+,Se4+,Li1+,O2-,Li7Co3(SeO6)2,1872.883419647668
Fe3+,Cr4+,Li1+,O2-,Li7Cr2(FeO4)3,1876.5195945378605
Zr3+,Ni4+,Li1+,O2-,Li7Zr3(NiO6)2,1880.3303028029004
Y3+,Pb4+,Li1+,O2-,Li7Y3(PbO6)2,1887.2219064099515
Y3+,C4+,Li1+,O2-,Li7Y3(CO6)2,1892.5327404688803
Zr3+,Pb4+,Li1+,O2-,Li7Zr3(PbO6)2,1892.5597301378195
Ti3+,P4+,Li1+,O2-,Li7Ti3(PO6)2,1895.767936940045
V3+,Sn4+,Li1+,O2-,Li7V3(SnO6)2,1901.5391448934352
Y3+,Ti4+,Li1+,O2-,Li7Y3Ti2O12,1901.5625472871352
Zr3+,C4+,Li1+,O2-,Li7Zr3(CO6)2,1901.6731652253911
In3+,Zr4+,Li1+,O2-,Li7Zr2In3O12,1906.6700995385168
Zr3+,Ti4+,Li1+,O2-,Li7Zr3Ti2O12,1909.5254348543851
Fe3+,Hf4+,Li1+,O2-,Li7Hf2(FeO4)3,1911.8660850916776
V5+,Na1+,Li1+,O2-,Na2Li7V3O12,1917.810341048608
Ag3+,Ce4+,Li1+,O2-,Li7Ce2(AgO4)3,1920.6489120770275
Ag3+,Pr4+,Li1+,O2-,Li7Pr2(AgO4)3,1922.8560837551129
Y3+,Mn4+,Li1+,O2-,Li7Y3Mn2O12,1930.258683847445
V3+,S4+,Li1+,O2-,Li7V3(SO6)2,1931.6477475022093
V3+,Fe4+,Li1+,O2-,Li7V3(FeO6)2,1932.3740141197395
Zr3+,Mn4+,Li1+,O2-,Li7Zr3Mn2O12,1937.7213891210663
V3+,Pb4+,Li1+,O2-,Li7V3(PbO6)2,1938.074729238257
V5+,Cu1+,Li1+,O2-,Li7V3(CuO6)2,1941.0380054574837
In3+,V4+,Li1+,O2-,Li7V2In3O12,1944.0083573440045
Y3+,Se4+,Li1+,O2-,Li7Y3(SeO6)2,1944.5906364288303
Y3+,Ge4+,Li1+,O2-,Li7Y3(GeO6)2,1945.454328134435
V3+,Si4+,Li1+,O2-,Li7V3(SiO6)2,1948.1410566817167
V5+,Ni1+,Li1+,O2-,Li7V3(NiO6)2,1949.417873569058
V3+,Ni4+,Li1+,O2-,Li7V3(NiO6)2,1949.417873569058
Zr3+,Se4+,Li1+,O2-,Li7Zr3(SeO6)2,1951.3716582576064
Zr3+,Ge4+,Li1+,O2-,Li7Zr3(GeO6)2,1952.356201778292
Mn3+,P4+,Li1+,O2-,Li7Mn3(PO6)2,1952.875350183729
Mn5+,P1+,Li1+,O2-,Li7Mn3(PO6)2,1952.875350183729
Ti3+,Cr4+,Li1+,O2-,Li7Ti3Cr2O12,1958.7142672781983
Ti3+,Hf4+,Li1+,O2-,Li7Hf2Ti3O12,1967.1458609251868
Ag3+,Tb4+,Li1+,O2-,Li7Tb2(AgO4)3,1970.9481062601703
V5+,N1+,Li1+,O2-,Li7V3(NO6)2,1978.25530346732
V3+,Ti4+,Li1+,O2-,Li7Ti2V3O12,1988.8843298510872
V5+,C1+,Li1+,O2-,Li7V3(CO6)2,1992.392418578923
V3+,C4+,Li1+,O2-,Li7V3(CO6)2,1992.392418578923
Mn3+,Hf4+,Li1+,O2-,Li7Hf2Mn3O12,2000.1670741799428
Mn3+,Cr4+,Li1+,O2-,Li7Mn3Cr2O12,2008.486671903624
In3+,P4+,Li1+,O2-,Li7In3(PO6)2,2016.9085628814844
V5+,Mn1+,Li1+,O2-,Li7Mn2V3O12,2021.620715243842
V3+,Mn4+,Li1+,O2-,Li7Mn2V3O12,2021.620715243842
Cr5+,Ag1+,Li1+,O2-,Li7Cr3(AgO6)2,2027.8224151545512
V3+,Se4+,Li1+,O2-,Li7V3(SeO6)2,2030.9518372398968
V3+,Ge4+,Li1+,O2-,Li7V3(GeO6)2,2034.024566893819
In3+,Hf4+,Li1+,O2-,Li7Hf2In3O12,2035.1270862486303
Fe3+,Ce4+,Li1+,O2-,Li7Ce2(FeO4)3,2038.6961920938688
Fe3+,Pr4+,Li1+,O2-,Li7Pr2(FeO4)3,2041.1317465349027
Co3+,Co4+,Li1+,O2-,Li7Co5O12,2047.022104004464
V5+,In1+,Li1+,O2-,Li7V3In2O12,2052.735754011418
In3+,Cr4+,Li1+,O2-,Li7Cr2In3O12,2054.1138070261504
Cr3+,Pb4+,Li1+,O2-,Li7Cr3(PbO6)2,2078.421863942614
Cr3+,Sn4+,Li1+,O2-,Li7Cr3(SnO6)2,2081.2469981692084
Co3+,Zr4+,Li1+,O2-,Li7Zr2(CoO4)3,2086.909518977697
Sc3+,Pb4+,Li1+,O2-,Li7Sc3(PbO6)2,2092.665402706276
Fe3+,Tb4+,Li1+,O2-,Li7Tb2(FeO4)3,2093.6917387947497
Y3+,Co4+,Li1+,O2-,Li7Y3(CoO6)2,2098.276977804247
Sc3+,Sn4+,Li1+,O2-,Li7Sc3(SnO6)2,2099.701055139589
Zr3+,Co4+,Li1+,O2-,Li7Zr3(CoO6)2,2103.796843751641
Ti3+,Ce4+,Li1+,O2-,Li7Ce2Ti3O12,2104.9302481830573
Ti3+,Pr4+,Li1+,O2-,Li7Pr2Ti3O12,2107.2958685493804
Ag1+,Re7+,Li1+,O2-,Li7Re2(AgO4)3,2116.247945757755
Ag3+,Re4+,Li1+,O2-,Li7Re2(AgO4)3,2116.247945757755
Y3+,Zr4+,Li1+,O2-,Li7Y3Zr2O12,2128.165459904877
Zr3+,Zr4+,Li1+,O2-,Li7Zr5O12,2132.875307270076
Mn3+,Ce4+,Li1+,O2-,Li7Ce2Mn3O12,2137.384786939251
Mn3+,Pr4+,Li1+,O2-,Li7Pr2Mn3O12,2139.602610258868
In3+,Ce4+,Li1+,O2-,Li7Ce2In3O12,2146.957616954236
In3+,Pr4+,Li1+,O2-,Li7Pr2In3O12,2148.698348997536
V5+,Li1+,Li1+,O2-,Li3VO4,2155.6568438466998
Cr3+,Fe4+,Li1+,O2-,Li7Cr3(FeO6)2,2156.345034147021
Ti3+,Tb4+,Li1+,O2-,Li7Tb2Ti3O12,2158.2515456927504
Cr5+,Cu1+,Li1+,O2-,Li7Cr3(CuO6)2,2158.3691978823667
Co3+,V4+,Li1+,O2-,Li7V2(CoO4)3,2164.267838310684
Cr5+,Ni1+,Li1+,O2-,Li7Cr3(NiO6)2,2170.801426350833
Cr3+,Ni4+,Li1+,O2-,Li7Cr3(NiO6)2,2170.801426350833
Cr5+,Na1+,Li1+,O2-,Na2Li7Cr3O12,2175.141194769908
Cr3+,S4+,Li1+,O2-,Li7Cr3(SO6)2,2178.745321502303
La3+,Pb4+,Li1+,O2-,Li7La3(PbO6)2,2181.4042535430817
Sc3+,Fe4+,Li1+,O2-,Li7Sc3(FeO6)2,2182.8180614683733
Ce3+,Pb4+,Li1+,O2-,Li7Ce3(PbO6)2,2184.506529078854
Pr3+,Pb4+,Li1+,O2-,Li7Pr3(PbO6)2,2186.52401601462
In3+,Tb4+,Li1+,O2-,Li7Tb2In3O12,2186.666146112819
Mn3+,Tb4+,Li1+,O2-,Li7Tb2Mn3O12,2187.4540597179816
Nd3+,Pb4+,Li1+,O2-,Li7Nd3(PbO6)2,2194.9247673405807
Fe5+,Hg1+,Li1+,O2-,Li7Fe3(HgO6)2,2197.3065933452185
Sc3+,Ni4+,Li1+,O2-,Li7Sc3(NiO6)2,2197.5879781233425
Cr3+,Si4+,Li1+,O2-,Li7Cr3(SiO6)2,2199.467264921452
Y3+,V4+,Li1+,O2-,Li7Y3V2O12,2199.561476334554
Co3+,Hf4+,Li1+,O2-,Li7Hf2(CoO4)3,2202.554411476526
La3+,Sn4+,Li1+,O2-,Li7La3(SnO6)2,2203.7766265573755
Zr3+,V4+,Li1+,O2-,Li7Zr3V2O12,2204.081314673347
Ce3+,Sn4+,Li1+,O2-,Li7Ce3(SnO6)2,2207.3996285180424
Sc3+,S4+,Li1+,O2-,Li7Sc3(SO6)2,2209.158868391309
Pr3+,Sn4+,Li1+,O2-,Li7Pr3(SnO6)2,2209.7531621134253
Sm3+,Pb4+,Li1+,O2-,Li7Sm3(PbO6)2,2209.94362149316
Eu3+,Pb4+,Li1+,O2-,Li7Eu3(PbO6)2,2213.7991080518923
Nd3+,Sn4+,Li1+,O2-,Li7Nd3(SnO6)2,2219.5312793378644
Cr3+,Ti4+,Li1+,O2-,Li7Ti2Cr3O12,2219.7513071750045
Y3+,Hf4+,Li1+,O2-,Li7Y3Hf2O12,2223.447635183312
V3+,Co4+,Li1+,O2-,Li7V3(CoO6)2,2225.63971543137
V5+,Co1+,Li1+,O2-,Li7V3(CoO6)2,2225.63971543137
Gd3+,Pb4+,Li1+,O2-,Li7Gd3(PbO6)2,2226.2718177863053
Zr3+,Hf4+,Li1+,O2-,Li7Hf2Zr3O12,2226.4533962144174
Tb3+,Pb4+,Li1+,O2-,Li7Tb3(PbO6)2,2230.151984635202
Sc3+,Si4+,Li1+,O2-,Li7Sc3(SiO6)2,2231.4556296071582
Cr5+,In1+,Li1+,O2-,Li7Cr3In2O12,2233.9135594928234
Cr3+,Se4+,Li1+,O2-,Li7Cr3(SeO6)2,2235.686987691891
Sm3+,Sn4+,Li1+,O2-,Li7Sm3(SnO6)2,2236.924965971707
Dy3+,Pb4+,Li1+,O2-,Li7Dy3(PbO6)2,2238.316861269669
Eu3+,Sn4+,Li1+,O2-,Li7Eu3(SnO6)2,2241.372073295857
Cr3+,Ge4+,Li1+,O2-,Li7Cr3(GeO6)2,2243.5177497162026
Ho3+,Pb4+,Li1+,O2-,Li7Ho3(PbO6)2,2243.780991612624
Cr5+,Mn1+,Li1+,O2-,Li7Mn2Cr3O12,2245.8363911727374
Cr3+,Mn4+,Li1+,O2-,Li7Mn2Cr3O12,2245.8363911727374
Cr5+,N1+,Li1+,O2-,Li7Cr3(NO6)2,2246.0246854844127
V3+,Zr4+,Li1+,O2-,Li7Zr2V3O12,2247.155911333514
Er3+,Pb4+,Li1+,O2-,Li7Er3(PbO6)2,2248.9519836840377
Sc3+,Ti4+,Li1+,O2-,Li7Sc3Ti2O12,2249.9629781757835
Tm3+,Pb4+,Li1+,O2-,Li7Tm3(PbO6)2,2252.633441013564
Gd3+,Sn4+,Li1+,O2-,Li7Gd3(SnO6)2,2255.708608730426
Fe5+,K1+,Li1+,O2-,K2Li7(FeO4)3,2257.0441902040543
Fe3+,Re4+,Li1+,O2-,Li7Fe3(ReO6)2,2259.4643528848646
Fe5+,Re1+,Li1+,O2-,Li7Fe3(ReO6)2,2259.4643528848646
Tb3+,Sn4+,Li1+,O2-,Li7Tb3(SnO6)2,2260.153055819332
Yb3+,Pb4+,Li1+,O2-,Li7Yb3(PbO6)2,2261.523083472121
Cr3+,C4+,Li1+,O2-,Li7Cr3(CO6)2,2262.596974009099
Cr5+,C1+,Li1+,O2-,Li7Cr3(CO6)2,2262.596974009099
Sc3+,Se4+,Li1+,O2-,Li7Sc3(SeO6)2,2263.007270843721
Lu3+,Pb4+,Li1+,O2-,Li7Lu3(PbO6)2,2265.6313247914536
Dy3+,Sn4+,Li1+,O2-,Li7Dy3(SnO6)2,2269.48136084544
Sc3+,Ge4+,Li1+,O2-,Li7Sc3(GeO6)2,2271.8188115943994
La3+,Fe4+,Li1+,O2-,Li7La3(FeO6)2,2273.4460621862127
Ho3+,Sn4+,Li1+,O2-,Li7Ho3(SnO6)2,2275.7060069114964
Sc3+,Mn4+,Li1+,O2-,Li7Sc3Mn2O12,2276.302893195643
Ce3+,Fe4+,Li1+,O2-,Li7Ce3(FeO6)2,2277.331172023218
Pr3+,Fe4+,Li1+,O2-,Li7Pr3(FeO6)2,2279.852224424035
Co3+,P4+,Li1+,O2-,Li7Co3(PO6)2,2281.017467141616
Er3+,Sn4+,Li1+,O2-,Li7Er3(SnO6)2,2281.5834177743336
Mn5+,Hg1+,Li1+,O2-,Li7Mn3(HgO6)2,2281.7316096384893
La3+,Ni4+,Li1+,O2-,Li7La3(NiO6)2,2282.175868294827
Tm3+,Sn4+,Li1+,O2-,Li7Tm3(SnO6)2,2285.759949840904
Ce3+,Ni4+,Li1+,O2-,Li7Ce3(NiO6)2,2285.9918084538053
Pr3+,Ni4+,Li1+,O2-,Li7Pr3(NiO6)2,2288.4681177044063
Nd3+,Fe4+,Li1+,O2-,Li7Nd3(FeO6)2,2290.303209265579
Na1+,Re7+,Li1+,O2-,Na3Li7(ReO6)2,2292.664567841735
La3+,S4+,Li1+,O2-,Li7La3(SO6)2,2295.470622005818
Yb3+,Sn4+,Li1+,O2-,Li7Yb3(SnO6)2,2295.8182156246426
Nd3+,Ni4+,Li1+,O2-,Li7Nd3(NiO6)2,2298.7348054098397
Ce3+,S4+,Li1+,O2-,Li7Ce3(SO6)2,2299.5002605309537
Y3+,P4+,Li1+,O2-,Li7Y3(PO6)2,2300.345356118218
