A,B,C,D,Pretty Formula,sus_factor
Lu3+,Sn4+,Li1+,O2-,Li7Lu3(SnO6)2,2300.453743780043
Sc3+,C4+,Li1+,O2-,Li7Sc3(CO6)2,2300.4975585886355
Pr3+,S4+,Li1+,O2-,Li7Pr3(SO6)2,2302.1137624062158
Zr3+,P4+,Li1+,O2-,Li7Zr3(PO6)2,2303.96204421788
Sm3+,Fe4+,Li1+,O2-,Li7Sm3(FeO6)2,2308.8022179130435
Co3+,Cr4+,Li1+,O2-,Li7Cr2(CoO4)3,2308.888198231977
La3+,Si4+,Li1+,O2-,Li7La3(SiO6)2,2309.922092985885
Nd3+,S4+,Li1+,O2-,Li7Nd3(SO6)2,2312.936800735739
Eu3+,Fe4+,Li1+,O2-,Li7Eu3(FeO6)2,2313.51320985476
Ce3+,Si4+,Li1+,O2-,Li7Ce3(SiO6)2,2313.9232697084417
In3+,Re4+,Li1+,O2-,Li7In3(ReO6)2,2316.508534460051
In1+,Re7+,Li1+,O2-,Li7In3(ReO6)2,2316.508534460051
Pr3+,Si4+,Li1+,O2-,Li7Pr3(SiO6)2,2316.518073105516
Sm3+,Ni4+,Li1+,O2-,Li7Sm3(NiO6)2,2316.912276746482
La3+,Ti4+,Li1+,O2-,Li7La3Ti2O12,2317.379897680333
La3+,Se4+,Li1+,O2-,Li7La3(SeO6)2,2320.771652712843
Ce3+,Ti4+,Li1+,O2-,Li7Ce3Ti2O12,2321.136074267262
Eu3+,Ni4+,Li1+,O2-,Li7Eu3(NiO6)2,2321.542341630352
Y3+,Cr4+,Li1+,O2-,Li7Y3Cr2O12,2322.787049116086
Pr3+,Ti4+,Li1+,O2-,Li7Pr3Ti2O12,2323.5730615151374
Ce3+,Se4+,Li1+,O2-,Li7Ce3(SeO6)2,2324.227530439723
Ti3+,Re4+,Li1+,O2-,Li7Ti3(ReO6)2,2324.612328818544
Zr3+,Cr4+,Li1+,O2-,Li7Zr3Cr2O12,2325.905338345378
Pr3+,Se4+,Li1+,O2-,Li7Pr3(SeO6)2,2326.471039678333
Nd3+,Si4+,Li1+,O2-,Li7Nd3(SiO6)2,2327.261675765425
La3+,Ge4+,Li1+,O2-,Li7La3(GeO6)2,2327.3985046230064
Gd3+,Fe4+,Li1+,O2-,Li7Gd3(FeO6)2,2328.6488989706318
V3+,Hf4+,Li1+,O2-,Li7Hf2V3O12,2329.223972303259
Ce3+,Ge4+,Li1+,O2-,Li7Ce3(GeO6)2,2330.8787138998164
Sm3+,S4+,Li1+,O2-,Li7Sm3(SO6)2,2332.050260535403
La3+,Mn4+,Li1+,O2-,Li7La3Mn2O12,2332.800119347375
Pr3+,Ge4+,Li1+,O2-,Li7Pr3(GeO6)2,2333.137758627673
Tb3+,Fe4+,Li1+,O2-,Li7Tb3(FeO6)2,2333.325177371071
Nd3+,Ti4+,Li1+,O2-,Li7Nd3Ti2O12,2333.6721974597413
Nd3+,Se4+,Li1+,O2-,Li7Nd3(SeO6)2,2335.7797604453567
Ce3+,Mn4+,Li1+,O2-,Li7Ce3Mn2O12,2336.4147293029364
Gd3+,Ni4+,Li1+,O2-,Li7Gd3(NiO6)2,2336.4206525457007
Eu3+,S4+,Li1+,O2-,Li7Eu3(SO6)2,2336.908747783663
Pr3+,Mn4+,Li1+,O2-,Li7Pr3Mn2O12,2338.7602110269854
Tb3+,Ni4+,Li1+,O2-,Li7Tb3(NiO6)2,2341.018222801962
Ag3+,Mo4+,Li1+,O2-,Li7Ag3(MoO6)2,2341.16596416919
Nd3+,Ge4+,Li1+,O2-,Li7Nd3(GeO6)2,2342.508751068
Dy3+,Fe4+,Li1+,O2-,Li7Dy3(FeO6)2,2343.115696706407
Sm3+,Si4+,Li1+,O2-,Li7Sm3(SiO6)2,2346.22698075554
Mn3+,Re4+,Li1+,O2-,Li7Mn3(ReO6)2,2347.2291305436474
Mn1+,Re7+,Li1+,O2-,Li7Mn3(ReO6)2,2347.2291305436474
Mn5+,Re1+,Li1+,O2-,Li7Mn3(ReO6)2,2347.2291305436474
Nd3+,Mn4+,Li1+,O2-,Li7Nd3Mn2O12,2348.4830094832764
Ho3+,Fe4+,Li1+,O2-,Li7Ho3(FeO6)2,2349.6304751503303
Dy3+,Ni4+,Li1+,O2-,Li7Dy3(NiO6)2,2350.6451940265883
Eu3+,Si4+,Li1+,O2-,Li7Eu3(SiO6)2,2351.0462067796307
Sm3+,Ti4+,Li1+,O2-,Li7Sm3Ti2O12,2351.535153058101
Sm3+,Se4+,Li1+,O2-,Li7Sm3(SeO6)2,2352.289684853619
Gd3+,S4+,Li1+,O2-,Li7Gd3(SO6)2,2352.4937157081413
La3+,C4+,Li1+,O2-,Li7La3(CO6)2,2354.105262301968
V3+,V4+,Li1+,O2-,Li7V5O12,2354.3250553769503
Er3+,Fe4+,Li1+,O2-,Li7Er3(FeO6)2,2355.76844266614
Eu3+,Ti4+,Li1+,O2-,Li7Eu3Ti2O12,2356.0814626704323
Eu3+,Se4+,Li1+,O2-,Li7Eu3(SeO6)2,2356.500846567113
Ho3+,Ni4+,Li1+,O2-,Li7Ho3(NiO6)2,2357.052074683454
Tb3+,S4+,Li1+,O2-,Li7Tb3(SO6)2,2357.301229446445
Ce3+,C4+,Li1+,O2-,Li7Ce3(CO6)2,2358.059984594478
Sm3+,Ge4+,Li1+,O2-,Li7Sm3(GeO6)2,2359.120452868892
Co3+,Ce4+,Li1+,O2-,Li7Ce2(CoO4)3,2359.6803534105165
Tm3+,Fe4+,Li1+,O2-,Li7Tm3(FeO6)2,2360.1222460369263
Pr3+,C4+,Li1+,O2-,Li7Pr3(CO6)2,2360.623651882449
Co3+,Pr4+,Li1+,O2-,Li7Pr2(CoO4)3,2361.356779335358
Er3+,Ni4+,Li1+,O2-,Li7Er3(NiO6)2,2363.089065158496
Eu3+,Ge4+,Li1+,O2-,Li7Eu3(GeO6)2,2363.355801555755
Y3+,Ce4+,Li1+,O2-,Li7Ce2Y3O12,2364.6694945401086
Sm3+,Mn4+,Li1+,O2-,Li7Sm3Mn2O12,2365.6916498149576
Y3+,Pr4+,Li1+,O2-,Li7Pr2Y3O12,2366.1448843837443
Gd3+,Si4+,Li1+,O2-,Li7Gd3(SiO6)2,2366.5008546510294
Zr3+,Ce4+,Li1+,O2-,Li7Ce2Zr3O12,2366.729441179292
Dy3+,S4+,Li1+,O2-,Li7Dy3(SO6)2,2367.3549607692307
Tm3+,Ni4+,Li1+,O2-,Li7Tm3(NiO6)2,2367.3716431839284
Zr3+,Pr4+,Li1+,O2-,Li7Pr2Zr3O12,2368.18784496935
Gd3+,Se4+,Li1+,O2-,Li7Gd3(SeO6)2,2370.049151404574
Eu3+,Mn4+,Li1+,O2-,Li7Eu3Mn2O12,2370.073743232589
Yb3+,Fe4+,Li1+,O2-,Li7Yb3(FeO6)2,2370.5806517358824
Gd3+,Ti4+,Li1+,O2-,Li7Gd3Ti2O12,2370.6806319006
Nd3+,C4+,Li1+,O2-,Li7Nd3(CO6)2,2371.2298903585
Tb3+,Si4+,Li1+,O2-,Li7Tb3(SiO6)2,2371.266821571869
Ho3+,S4+,Li1+,O2-,Li7Ho3(SO6)2,2374.0362373138955
Tb3+,Se4+,Li1+,O2-,Li7Tb3(SeO6)2,2374.2407093717943
Tb3+,Ti4+,Li1+,O2-,Li7Tb3Ti2O12,2375.1888613540063
Lu3+,Fe4+,Li1+,O2-,Li7Lu3(FeO6)2,2375.3878948090837
Gd3+,Ge4+,Li1+,O2-,Li7Gd3(GeO6)2,2376.977035476973
Yb3+,Ni4+,Li1+,O2-,Li7Yb3(NiO6)2,2377.660313132136
Er3+,S4+,Li1+,O2-,Li7Er3(SO6)2,2380.324761669999
Tb3+,Ge4+,Li1+,O2-,Li7Tb3(GeO6)2,2381.189646824904
Dy3+,Si4+,Li1+,O2-,Li7Dy3(SiO6)2,2381.2316162125685
Lu3+,Ni4+,Li1+,O2-,Li7Lu3(NiO6)2,2382.390179456127
Dy3+,Se4+,Li1+,O2-,Li7Dy3(SeO6)2,2383.0251428950664
Gd3+,Mn4+,Li1+,O2-,Li7Gd3Mn2O12,2384.151933039546
Dy3+,Ti4+,Li1+,O2-,Li7Dy3Ti2O12,2384.624049754933
Tm3+,S4+,Li1+,O2-,Li7Tm3(SO6)2,2384.781651465277
Ho3+,Si4+,Li1+,O2-,Li7Ho3(SiO6)2,2387.852254314415
Tb3+,Mn4+,Li1+,O2-,Li7Tb3Mn2O12,2388.501243073376
Ho3+,Se4+,Li1+,O2-,Li7Ho3(SeO6)2,2388.877028124639
Sm3+,C4+,Li1+,O2-,Li7Sm3(CO6)2,2389.9195619502098
Dy3+,Ge4+,Li1+,O2-,Li7Dy3(GeO6)2,2390.015890358132
Ho3+,Ti4+,Li1+,O2-,Li7Ho3Ti2O12,2390.8997657527552
Er3+,Si4+,Li1+,O2-,Li7Er3(SiO6)2,2394.082585477925
Er3+,Se4+,Li1+,O2-,Li7Er3(SeO6)2,2394.3952571031487
Eu3+,C4+,Li1+,O2-,Li7Eu3(CO6)2,2394.6620176290357
Yb3+,S4+,Li1+,O2-,Li7Yb3(SO6)2,2395.47513333458
Ho3+,Ge4+,Li1+,O2-,Li7Ho3(GeO6)2,2395.89389101305
Er3+,Ti4+,Li1+,O2-,Li7Er3Ti2O12,2396.810584246957
Co3+,Tb4+,Li1+,O2-,Li7Tb2(CoO4)3,2397.559465347504
Dy3+,Mn4+,Li1+,O2-,Li7Dy3Mn2O12,2397.606826297265
Mn5+,K1+,Li1+,O2-,K2Li7Mn3O12,2398.191608526829
Y3+,Tb4+,Li1+,O2-,Li7Tb2Y3O12,2398.1933908708866
Tm3+,Se4+,Li1+,O2-,Li7Tm3(SeO6)2,2398.3122999018133
Tm3+,Si4+,Li1+,O2-,Li7Tm3(SiO6)2,2398.4975747039
Zr3+,Tb4+,Li1+,O2-,Li7Tb2Zr3O12,2399.8800267995834
Lu3+,S4+,Li1+,O2-,Li7Lu3(SO6)2,2400.3844935480597
Tm3+,Ti4+,Li1+,O2-,Li7Tm3Ti2O12,2401.002140356819
Er3+,Ge4+,Li1+,O2-,Li7Er3(GeO6)2,2401.4354745093938
Ho3+,Mn4+,Li1+,O2-,Li7Ho3Mn2O12,2403.6655540331203
Tm3+,Ge4+,Li1+,O2-,Li7Tm3(GeO6)2,2405.368346240359
Yb3+,Se4+,Li1+,O2-,Li7Yb3(SeO6)2,2407.731175809415
Yb3+,Si4+,Li1+,O2-,Li7Yb3(SiO6)2,2409.088301726204
Er3+,Mn4+,Li1+,O2-,Li7Er3Mn2O12,2409.373641986523
Gd3+,C4+,Li1+,O2-,Li7Gd3(CO6)2,2409.852119477771
Ag1+,I7+,Li1+,O2-,Li7Ag3(IO6)2,2410.033255282984
Yb3+,Ti4+,Li1+,O2-,Li7Yb3Ti2O12,2411.066993144297
Lu3+,Se4+,Li1+,O2-,Li7Lu3(SeO6)2,2412.0651617369185
Tm3+,Mn4+,Li1+,O2-,Li7Tm3Mn2O12,2413.4224002813057
Lu3+,Si4+,Li1+,O2-,Li7Lu3(SiO6)2,2413.949436975614
Tb3+,C4+,Li1+,O2-,Li7Tb3(CO6)2,2414.5308680567146
Yb3+,Ge4+,Li1+,O2-,Li7Yb3(GeO6)2,2414.822739689881
Lu3+,Ti4+,Li1+,O2-,Li7Lu3Ti2O12,2415.6915324725023
Lu3+,Ge4+,Li1+,O2-,Li7Lu3(GeO6)2,2419.171861590881
Yb3+,Mn4+,Li1+,O2-,Li7Yb3Mn2O12,2423.1476357974925
Dy3+,C4+,Li1+,O2-,Li7Dy3(CO6)2,2424.304734522429
Lu3+,Mn4+,Li1+,O2-,Li7Lu3Mn2O12,2427.6176794587177
Ho3+,C4+,Li1+,O2-,Li7Ho3(CO6)2,2430.792116684481
Cr5+,Li1+,Li1+,O2-,Li3CrO4,2431.277833773217
Er3+,C4+,Li1+,O2-,Li7Er3(CO6)2,2436.892385508878
Tm3+,C4+,Li1+,O2-,Li7Tm3(CO6)2,2441.212474923803
Cr3+,Zr4+,Li1+,O2-,Li7Zr2Cr3O12,2442.036810375394
Cr5+,Co1+,Li1+,O2-,Li7Cr3(CoO6)2,2445.118100460177
Cr3+,Co4+,Li1+,O2-,Li7Cr3(CoO6)2,2445.118100460177
Ag3+,Te4+,Li1+,O2-,Li7Ag3(TeO6)2,2445.2360088866712
Yb3+,C4+,Li1+,O2-,Li7Yb3(CO6)2,2451.5663223095157
Lu3+,C4+,Li1+,O2-,Li7Lu3(CO6)2,2456.314371258243
La3+,Zr4+,Li1+,O2-,Li7La3Zr2O12,2460.567690011224
Ce3+,Zr4+,Li1+,O2-,Li7Ce3Zr2O12,2463.321096004889
La3+,Co4+,Li1+,O2-,Li7La3(CoO6)2,2464.156454400664
Pr3+,Zr4+,Li1+,O2-,Li7Pr3Zr2O12,2465.108952016892
Ce3+,Co4+,Li1+,O2-,Li7Ce3(CoO6)2,2467.1214522029245
Pr3+,Co4+,Li1+,O2-,Li7Pr3(CoO6)2,2469.045561630865
Nd3+,Zr4+,Li1+,O2-,Li7Nd3Zr2O12,2472.530300186806
Sc3+,Zr4+,Li1+,O2-,Li7Zr2Sc3O12,2475.9678521607675
Nd3+,Co4+,Li1+,O2-,Li7Nd3(CoO6)2,2477.022925944856
Cr3+,Hf4+,Li1+,O2-,Li7Hf2Cr3O12,2478.623235862449
Hg1+,Mn7+,Li1+,O2-,Li7Mn2(HgO4)3,2481.8961412611875
Sc3+,Co4+,Li1+,O2-,Li7Sc3(CoO6)2,2483.6231057462587
La3+,Hf4+,Li1+,O2-,Li7La3Hf2O12,2484.560562649892
Sm3+,Zr4+,Li1+,O2-,Li7Sm3Zr2O12,2485.705538836285
Ce3+,Hf4+,Li1+,O2-,Li7Ce3Hf2O12,2486.756266137267
Hg1+,Cl7+,Li1+,O2-,Li7Hg3(ClO6)2,2487.7014742200377
Pr3+,Hf4+,Li1+,O2-,Li7Pr3Hf2O12,2488.183736322113
Eu3+,Zr4+,Li1+,O2-,Li7Eu3Zr2O12,2489.06874097045
Sm3+,Co4+,Li1+,O2-,Li7Sm3(CoO6)2,2491.147387090713
V3+,P4+,Li1+,O2-,Li7V3(PO6)2,2493.8902460616914
V5+,P1+,Li1+,O2-,Li7V3(PO6)2,2493.8902460616914
Nd3+,Hf4+,Li1+,O2-,Li7Nd3Hf2O12,2494.123863494964
Eu3+,Co4+,Li1+,O2-,Li7Eu3(CoO6)2,2494.745153730295
Gd3+,Zr4+,Li1+,O2-,Li7Gd3Zr2O12,2499.8961753409617
Tb3+,Zr4+,Li1+,O2-,Li7Tb3Zr2O12,2503.2481857018065
Sm3+,Hf4+,Li1+,O2-,Li7Sm3Hf2O12,2504.7283156714066
Ag3+,W4+,Li1+,O2-,Li7Ag3(WO6)2,2504.7981659134102
V3+,Cr4+,Li1+,O2-,Li7V3Cr2O12,2505.1103495903167
Sc3+,Hf4+,Li1+,O2-,Li7Hf2Sc3O12,2505.523784676496
Gd3+,Co4+,Li1+,O2-,Li7Gd3(CoO6)2,2506.3064346272176
V3+,Ce4+,Li1+,O2-,Li7Ce2V3O12,2506.373691560268
Eu3+,Hf4+,Li1+,O2-,Li7Eu3Hf2O12,2507.4474218943856
V3+,Pr4+,Li1+,O2-,Li7Pr2V3O12,2507.7656661625347
Tb3+,Co4+,Li1+,O2-,Li7Tb3(CoO6)2,2509.879056860363
Dy3+,Zr4+,Li1+,O2-,Li7Dy3Zr2O12,2510.276567063631
Ho3+,Zr4+,Li1+,O2-,Li7Ho3Zr2O12,2514.9612065022507
Gd3+,Hf4+,Li1+,O2-,Li7Gd3Hf2O12,2516.235051806315
Dy3+,Co4+,Li1+,O2-,Li7Dy3(CoO6)2,2517.359943426189
Tb3+,Hf4+,Li1+,O2-,Li7Tb3Hf2O12,2518.966070991674
Er3+,Zr4+,Li1+,O2-,Li7Er3Zr2O12,2519.380630377351
Ho3+,Co4+,Li1+,O2-,Li7Ho3(CoO6)2,2522.338635864601
Tm3+,Zr4+,Li1+,O2-,Li7Tm3Zr2O12,2522.518813457202
Dy3+,Hf4+,Li1+,O2-,Li7Dy3Hf2O12,2524.7085920978734
Y3+,Re4+,Li1+,O2-,Li7Y3(ReO6)2,2526.3896276886726
Zr3+,Re4+,Li1+,O2-,Li7Zr3(ReO6)2,2526.966981245921
Er3+,Co4+,Li1+,O2-,Li7Er3(CoO6)2,2527.0299362657265
Ho3+,Hf4+,Li1+,O2-,Li7Ho3Hf2O12,2528.5484087547115
Yb3+,Zr4+,Li1+,O2-,Li7Yb3Zr2O12,2530.06863678926
Tm3+,Co4+,Li1+,O2-,Li7Tm3(CoO6)2,2530.3579217825454
Er3+,Hf4+,Li1+,O2-,Li7Er3Hf2O12,2532.179856073225
Lu3+,Zr4+,Li1+,O2-,Li7Lu3Zr2O12,2533.5443970053448
Tm3+,Hf4+,Li1+,O2-,Li7Tm3Hf2O12,2534.76383925882
V3+,Tb4+,Li1+,O2-,Li7Tb2V3O12,2537.77094009884
Yb3+,Co4+,Li1+,O2-,Li7Yb3(CoO6)2,2538.3533212463435
Co1+,Re7+,Li1+,O2-,Li7Co3(ReO6)2,2540.394636883417
Co3+,Re4+,Li1+,O2-,Li7Co3(ReO6)2,2540.394636883417
Yb3+,Hf4+,Li1+,O2-,Li7Yb3Hf2O12,2540.998592434465
Lu3+,Co4+,Li1+,O2-,Li7Lu3(CoO6)2,2542.0289761718723
Lu3+,Hf4+,Li1+,O2-,Li7Lu3Hf2O12,2543.8776124743067
Li1+,Re7+,Li1+,O2-,Li5ReO6,2550.397212569941
La3+,V4+,Li1+,O2-,Li7La3V2O12,2553.13217942309
Ce3+,V4+,Li1+,O2-,Li7Ce3V2O12,2555.7357079894514
Pr3+,V4+,Li1+,O2-,Li7Pr3V2O12,2557.4249716490403
Ag1+,Br7+,Li1+,O2-,Li7Ag3(BrO6)2,2563.263702768151
Nd3+,V4+,Li1+,O2-,Li7Nd3V2O12,2564.42636942123
Sm3+,V4+,Li1+,O2-,Li7Sm3V2O12,2576.8137522008897
Eu3+,V4+,Li1+,O2-,Li7Eu3V2O12,2579.9672025520485
Cr3+,V4+,Li1+,O2-,Li7V2Cr3O12,2580.02445977148
In3+,Mo4+,Li1+,O2-,Li7In3(MoO6)2,2581.925819827116
Fe3+,Mo4+,Li1+,O2-,Li7Fe3(MoO6)2,2585.9804118302363
Gd3+,V4+,Li1+,O2-,Li7Gd3V2O12,2590.0956113684288
Tb3+,V4+,Li1+,O2-,Li7Tb3V2O12,2593.2238870263536
V5+,Hg1+,Li1+,O2-,Li7V3(HgO6)2,2596.7327821604326
Dy3+,V4+,Li1+,O2-,Li7Dy3V2O12,2599.7719415858155
Ho3+,V4+,Li1+,O2-,Li7Ho3V2O12,2604.1280196818702
Er3+,V4+,Li1+,O2-,Li7Er3V2O12,2608.2313342725606
Tm3+,V4+,Li1+,O2-,Li7Tm3V2O12,2611.141434309884
Yb3+,V4+,Li1+,O2-,Li7Yb3V2O12,2618.1302597962726
Lu3+,V4+,Li1+,O2-,Li7Lu3V2O12,2621.341932877531
La3+,Ce4+,Li1+,O2-,Li7La3Ce2O12,2624.563020882327
La3+,Pr4+,Li1+,O2-,Li7La3Pr2O12,2625.364586363125
Sc3+,V4+,Li1+,O2-,Li7Sc3V2O12,2625.7880388360486
Ce3+,Ce4+,Li1+,O2-,Li7Ce5O12,2626.3975575667387
Ce3+,Pr4+,Li1+,O2-,Li7Ce3Pr2O12,2627.1929542629377
Pr3+,Ce4+,Li1+,O2-,Li7Ce2Pr3O12,2627.5896515735108
Pr3+,Pr4+,Li1+,O2-,Li7Pr5O12,2628.381052504499
In1+,I7+,Li1+,O2-,Li7In3(IO6)2,2631.3069264925625
Nd3+,Ce4+,Li1+,O2-,Li7Ce2Nd3O12,2632.545453363254
Nd3+,Pr4+,Li1+,O2-,Li7Pr2Nd3O12,2633.3203506864206
Sm3+,Ce4+,Li1+,O2-,Li7Ce2Sm3O12,2641.373247515824
Sm3+,Pr4+,Li1+,O2-,Li7Pr2Sm3O12,2642.119176956863
La3+,Tb4+,Li1+,O2-,Li7La3Tb2O12,2642.904176356361
Eu3+,Ce4+,Li1+,O2-,Li7Ce2Eu3O12,2643.632798398041
Eu3+,Pr4+,Li1+,O2-,Li7Pr2Eu3O12,2644.3714018103683
Ce3+,Tb4+,Li1+,O2-,Li7Tb2Ce3O12,2644.6001521283924
Pr3+,Tb4+,Li1+,O2-,Li7Tb2Pr3O12,2645.702479056665
Nd3+,Tb4+,Li1+,O2-,Li7Tb2Nd3O12,2650.287386502535
Gd3+,Ce4+,Li1+,O2-,Li7Ce2Gd3O12,2650.9241036679027
La3+,Cr4+,Li1+,O2-,Li7La3Cr2O12,2651.098669688141
Gd3+,Pr4+,Li1+,O2-,Li7Pr2Gd3O12,2651.6393130137644
La3+,P4+,Li1+,O2-,Li7La3(PO6)2,2652.5292515096144
Tb3+,Ce4+,Li1+,O2-,Li7Tb3Ce2O12,2653.1866391516296
Ce3+,Cr4+,Li1+,O2-,Li7Ce3Cr2O12,2653.22990639544
Tb3+,Pr4+,Li1+,O2-,Li7Tb3Pr2O12,2653.894665593577
Pr3+,Cr4+,Li1+,O2-,Li7Pr3Cr2O12,2654.6127600605214
Ce3+,P4+,Li1+,O2-,Li7Ce3(PO6)2,2654.777260594387
Pr3+,P4+,Li1+,O2-,Li7Pr3(PO6)2,2656.235214879767
Dy3+,Ce4+,Li1+,O2-,Li7Ce2Dy3O12,2657.9387447414583
Sm3+,Tb4+,Li1+,O2-,Li7Tb2Sm3O12,2658.463651442952
Dy3+,Pr4+,Li1+,O2-,Li7Pr2Dy3O12,2658.6318024515613
Nd3+,Cr4+,Li1+,O2-,Li7Nd3Cr2O12,2660.344449619065
Eu3+,Tb4+,Li1+,O2-,Li7Tb2Eu3O12,2660.558323412918
Ho3+,Ce4+,Li1+,O2-,Li7Ce2Ho3O12,2661.112279765762
Ho3+,Pr4+,Li1+,O2-,Li7Pr2Ho3O12,2661.7954300317483
Nd3+,P4+,Li1+,O2-,Li7Nd3(PO6)2,2662.27259164353
Er3+,Ce4+,Li1+,O2-,Li7Ce2Er3O12,2664.110637628732
Er3+,Pr4+,Li1+,O2-,Li7Pr2Er3O12,2664.784492762496
In3+,Te4+,Li1+,O2-,Li7In3(TeO6)2,2665.269833229751
Tm3+,Ce4+,Li1+,O2-,Li7Ce2Tm3O12,2666.2423891809303
Tm3+,Pr4+,Li1+,O2-,Li7Pr2Tm3O12,2666.909674392695
Gd3+,Tb4+,Li1+,O2-,Li7Tb2Gd3O12,2667.322833231652
Tb3+,Tb4+,Li1+,O2-,Li7Tb5O12,2669.423531951184
Sm3+,Cr4+,Li1+,O2-,Li7Sm3Cr2O12,2670.486368412321
Yb3+,Ce4+,Li1+,O2-,Li7Yb3Ce2O12,2671.379988572328
Cr3+,Ce4+,Li1+,O2-,Li7Ce2Cr3O12,2671.886469874931
Yb3+,Pr4+,Li1+,O2-,Li7Yb3Pr2O12,2672.031572081864
Cr3+,Pr4+,Li1+,O2-,Li7Pr2Cr3O12,2672.8856572846566
Sm3+,P4+,Li1+,O2-,Li7Sm3(PO6)2,2672.9333808863034
Eu3+,Cr4+,Li1+,O2-,Li7Eu3Cr2O12,2673.0683953307084
Lu3+,Ce4+,Li1+,O2-,Li7Ce2Lu3O12,2673.74952281353
Dy3+,Tb4+,Li1+,O2-,Li7Tb2Dy3O12,2673.8382425983373
Lu3+,Pr4+,Li1+,O2-,Li7Pr2Lu3O12,2674.3939273716383
V3+,Re4+,Li1+,O2-,Li7V3(ReO6)2,2675.0879418786417
V5+,Re1+,Li1+,O2-,Li7V3(ReO6)2,2675.0879418786417
Eu3+,P4+,Li1+,O2-,Li7Eu3(PO6)2,2675.6430225134923
Ho3+,Tb4+,Li1+,O2-,Li7Tb2Ho3O12,2676.788361300576
Er3+,Tb4+,Li1+,O2-,Li7Tb2Er3O12,2679.5770356274597
Gd3+,Cr4+,Li1+,O2-,Li7Gd3Cr2O12,2681.3620360593004
Tm3+,Tb4+,Li1+,O2-,Li7Tb2Tm3O12,2681.560535955167
Tb3+,Cr4+,Li1+,O2-,Li7Tb3Cr2O12,2683.923794547269
Gd3+,P4+,Li1+,O2-,Li7Gd3(PO6)2,2684.3342920888645
